time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
8800.0.	6.627327699157874e-05	499.999933726722	0.00010692612624700001	109.28594758006761	4.113935279467903e-05	4.986687402156895	3.3850835278234975e-05	0.0009736744405070001	0.5492263616904131	0.000128999519843	0.8496371135139441	0.00028361312117400003
8900.0.	0.000110378254996	499.9998896217441	0.00035469825561300003	116.36865013818928	4.7072963278625396e-05	7.545968485276985	5.999926869067619e-05	0.0017275829100010002	0.9832953369407251	4.738673689000605e-05	0.414869694143678	0.0009992779875690001
9000.0.	0.004572934908507	499.9954270650902	0.07856966954653101	119.98506016577059	0.0019376898338690001	7.377466304926978	0.0026163880633020002	0.07244683705452201	1.254478006981693	0.000258959966021	0.07019980793444401	0.070413362059699
9100.0.	5.888655156952798e-05	499.99994111344745	8.781004343618996e-05	108.75444553277431	4.12351165002917e-05	4.354337569456046	2.993769158129661e-05	0.000860789408686	0.500166788034054	0.000158052407251	0.8987844324584111	0.00023468993233200002
9200.0.	0.00010313534229000001	499.9998968646564	0.00028324558385100005	115.9123539906234	4.600726909719219e-05	7.24453984630904	5.5844226556729285e-05	0.001607843659022	0.9024876834714971	5.754430621875686e-05	0.49579108433668906	0.000786614498128
9300.0.	0.000745596635984	499.9992544033632	0.036462910007447	122.21185399046843	0.000285978087011	8.418974941579904	0.00043538609515000003	0.012007679599405002	1.361439887260423	1.343851311305023e-05	0.026103608531892003	0.028933405726272003
9400.0.	5.1878783546157685e-05	499.9999481212143	7.096516943526911e-05	108.23612591075394	4.1828700377080205e-05	3.6924756542271613	2.6255188162384903e-05	0.0007545889456550001	0.46066974957415	0.000201538684278	0.938347867607738	0.000193385833589
9500.0.	9.64740106273683e-05	499.9999035259873	0.000235027971721	115.4661452370892	4.5136696794364425e-05	6.9263780271832776	5.2038869903495766e-05	0.0014981400940240002	0.829957849942324	6.76452453586307e-05	0.568424325848374	0.00064446843345
9600.0.	0.00021939064384300002	499.99978060935393	0.007023788991644001	122.14089786721198	8.43807494000701e-05	8.393315017774114	0.00012628865325100001	0.003575666298969	1.357565879052869	7.393853996432756e-06	0.038724772140899005	0.011797078385841
9700.0.	4.537512865058585e-05	499.99995462486976	5.5622358338426684e-05	107.73079220268947	4.330218202156242e-05	3.004109206859698	2.28609759872004e-05	0.000656800031817	0.42982407905311504	0.000341941987843	0.9691543179512221	0.000157702243143
9800.0.	9.026037248002154e-05	499.9999097396258	0.000199876053502	115.03012389766488	4.442111246797451e-05	6.593131692067279	4.850635545811626e-05	0.0013962795316690001	0.765082185531579	7.792671031834769e-05	0.63339510187096	0.000542276784722
9900.0.	0.000149892817058	499.99985010718126	0.001790528865154	121.81202750668135	5.886892302942667e-05	8.259126157569199	8.544258721673299e-05	0.0024518920397420003	1.2930548770846961	1.409294775274391e-05	0.104393695340577	0.0048120176788370005
10000.0.	3.9652146732581115e-05	499.999960347851	4.129853153724865e-05	107.2384184932747	4.661170202949424e-05	2.294491443598386	1.9888214228217414e-05	0.0005712898460030001	0.40462838860857003	0.0027936856888710004	0.9919867476423081	0.00012666745987700002
