time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
112.0.	0	0.041445019290941	0.0016749500684370001	0.000744216433381	0.0074464645171230005	0.022136067771938002	0.0006497426217170001	0.000125037236388	0	0.00249805336148	0.07666413504356301	0.425359001768129	0.163409929483597	0	0.36790825122817405	0.0012506375447000001	0.047581093863564	0.013382370231522	0.9842716274526461	0.021650628297675	0.011553093043760001	0.138855394999222	1.777581653673015e-05	0.9999340297831321
114.0.	0	0.041978795507933	0.001594055542348	0.000570474516308	0.007285471216959	0.020786136909661003	0.000635010393095	0.000131862265363	0	0.002632367594308	0.08003252810042501	0.459761558171531	0.135572612396755	0	0.37895683332081403	0.001209699249703	0.04605748760522901	0.013656691342438002	0.9831748863148071	0.020448569948086002	0.012503361368566002	0.067918524999972	1.0424825846829431e-05	0.9999286327672341
116.0.	0	0.042576512908656	0.001483255216982	0.000482700988609	0.007178140578977	0.019699505738401003	0.0006388157258840001	0.000138583755027	0	0.002764515065795	0.083307640179584	0.492701894801834	0.122327848576672	0	0.37602164013069606	0.001220020413909	0.045883656673862	0.013880116141052001	0.982076695046016	0.019464591712250002	0.013391409903134002	0.036471518848626004	7.480601846801432e-06	0.9999078139334671
118.0.	0	0.043136358452389	0.0013691442370600002	0.00043134080577500005	0.007099661662140001	0.018775698185681002	0.000650669593518	0.00014529373873300002	0	0.002896305265272	0.08653441622631601	0.5242997031502521	0.11562800383523	0	0.367150228340887	0.0012528096194950001	0.046267775227175005	0.014061854915068001	0.9809638687384451	0.018659160872483	0.014256900382662	0.022980909797305	6.175509931353507e-06	0.9998773106020361
120.0.	0	0.043615869331171	0.0012614663670530001	0.00039570764012200003	0.007038858562422001	0.01796381059845	0.000666031576501	0.000152071713568	0	0.0030292904521890002	0.089748055991704	0.5546167642601051	0.111673630077012	0	0.35612925967017	0.0012961549918	0.046871818500649004	0.014209466457147001	0.979823958142894	0.017999913113871002	0.015126506825615001	0.017288427681223	5.846090760291426e-06	0.9998400476700131
122.0.	0	0.044002831958854	0.0011629461844650001	0.00036748624541900005	0.006990852588596001	0.01723653045857	0.000682952994966	0.000158983786032	0	0.0031647535482760003	0.09297509075564	0.583688546474047	0.10884090136284201	0	0.344564646808661	0.0013450099795070001	0.047552008440292004	0.014329140716509	0.9786455805095661	0.017460352741818	0.016017423650009	0.014964051778417002	6.171315198064306e-06	0.999798228039622
124.0.	0	0.044297737869437005	0.0010737029142610002	0.000343298190886	0.00695337598072	0.016577356614094003	0.000700593846572	0.00016608676315900002	0	0.003303791224946	0.09623630680484101	0.611540761976274	0.10646362076500301	0	0.333102936202872	0.001397215591799	0.048246548054791005	0.014425940355279	0.977417917886183	0.01701878857396	0.016941895631836002	0.014110602109456001	6.928863128538507e-06	0.9997534600475151
126.0.	0	0.044505439597309	0.000993007214198	0.00032169083373400004	0.006925240294461001	0.015974988378359003	0.000718581679847	0.000173433716311	0	0.0034474235378310005	0.09954968736672401	0.6381955271846791	0.104271447488206	0	0.32199447571890605	0.001451835338049	0.04892774135186401	0.014504002633941	0.9761298925553971	0.016657462850467	0.017910219855202	0.013910514469967002	7.963630397608719e-06	0.9997068333654291
128.0.	0	0.044631578138299	0.0009199292527390001	0.00030197065221900004	0.006905755765326001	0.015420894346028	0.0007367404538570001	0.00018107926939	0	0.0035966968299840003	0.10293278643487101	0.663672819368824	0.102154296092982	0	0.311329575774324	0.001508451142012	0.049581960136122004	0.014566706083729002	0.9747692720305791	0.016361838200955003	0.018932587194918003	0.014005726170382002	9.174635284806232e-06	0.9996590666512771
130.0.	0	0.044681123839046	0.000853560023837	0.000283754545127	0.00689452360597	0.014908197545328001	0.0007549767272430001	0.000189084483844	0	0.003752777937577	0.10640463150446301	0.6879901170700691	0.10006681905308201	0	0.30113425256215703	0.001566863554935	0.050201283899289004	0.014616807191053	0.9733217136726311	0.016120013997972003	0.020020354054261003	0.014236113843847	1.049945640863315e-05	0.9996106575655671
132.0.	0	0.04465777058978	0.000793075578632	0.00026679436657300003	0.006891370279847001	0.014431103849627001	0.0007732316373000001	0.000197521893427	0	0.003917050593207	0.109987452195445	0.7111613025763931	0.09798988020353701	0	0.29140884463994504	0.0016269621757160002	0.050779939321594005	0.014656552017597002	0.9717696382101971	0.015922248641159	0.021187161063474003	0.014528258451549002	1.1899983951501322e-05	0.999561998682528
134.0.	0	0.044563624487341004	0.0007377456086670001	0.000250905512605	0.006896340422099001	0.013984560622825002	0.0007914602398510001	0.00020648153262200003	0	0.004091230286933	0.113708572372734	0.733195077774444	0.09591482605161901	0	0.28214377357577203	0.0016886676669040002	0.05131268026966301	0.014687766997778	0.9700907438220691	0.015760568585257	0.022450204391653003	0.014847377724086001	1.3351928855707193e-05	0.9995134567271141
136.0.	0	0.044398928626165006	0.0006869233409400001	0.00023593559359100003	0.006909722812444	0.013564013783054002	0.0008096221879710001	0.000216079112073	0	0.004277519577335001	0.11760285266489201	0.7540927642217291	0.093836861090155	0	0.27332617314587304	0.0017519035788340002	0.051793913302905004	0.014711932387176002	0.968255870239157	0.015628448430278	0.023831962327757	0.01517614860822	1.4837963425198552e-05	0.999465424929262
