time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
738.0.	0.000105373865868	5.405159672196339e-07	4.147455513748328e-11	0	4.0164083407299544e-07	1.396919153272513e-17	7.571659345493354e-07	9.10523401063193e-08	0.007112844725495	3.935593952992168e-07	0.009063527652184001	0.034547249470345	1.615926381297597e-08	0.9492741780167661
747.0.	0.00010543684429300001	5.069867019470878e-07	4.022648073901173e-11	0	4.0039065526137213e-07	1.4251962963561102e-17	7.100178232703379e-07	8.538259145465898e-08	0.00666763566253	3.81487943005908e-07	0.008494071868331001	0.034419136252571	1.638364658162386e-08	0.9504170555269801
756.0.	0.00010549611493200001	4.754934841610705e-07	3.900736113559951e-11	0	3.9911171645007896e-07	1.4534472758406702e-17	6.657569030120922e-07	8.006003821862234e-08	0.006249938947633001	3.697183512221599e-07	0.007960095201555	0.03428991075011	1.660719203802701e-08	0.9514980483140101
765.0.	0.000105551891437	4.459180167150334e-07	3.781720005569875e-11	0	3.978062235860222e-07	1.481666266177396e-17	6.242121479262275e-07	7.506411400500518e-08	0.005858098256869001	3.582481793473913e-07	0.007459422710297	0.034159681472557005	1.682989330128529e-08	0.9525208794438861
774.0.	0.00010560437636700001	4.181482209577668e-07	3.6655933990683844e-11	0	3.9647625651682646e-07	1.5098477641588223e-17	5.852219784243595e-07	7.037538835120622e-08	0.0054905515210480005	3.4707454553510287e-07	0.006990008562831	0.034028550295988	1.7051744174783122e-08	0.9534890552353431
783.0.	0.000105653761612	3.920779917471209e-07	3.552343859694537e-11	0	3.951237748778898e-07	1.537986576999186e-17	5.486338209601145e-07	6.597551378961098e-08	0.0051458262511170005	3.361941744396557e-07	0.0065499288734600005	0.033896612832665006	1.727273910423749e-08	0.9544058767292201
792.0.	0.00010570022881600001	3.6760695116204995e-07	3.441953468493742e-11	0	3.937506238617481e-07	1.5660778104295064e-17	5.143036783451315e-07	6.184717417847721e-08	0.004822535005277	3.256034415464291e-07	0.006137374876549	0.033763958783284004	1.749287313809476e-08	0.955274450695728
801.0.	0.00010574394980900001	3.446402027932562e-07	3.3343993809893755e-11	0	3.9235853984892167e-07	1.5941168568611002e-17	4.820957117181228e-07	5.797403443391932e-08	0.0045193710066900004	3.152984142656001e-07	0.005750646429776	0.03363067227224	1.7712141890163983e-08	0.956097700178905
810.0.	0.000105785087032	3.2308808819980127e-07	3.229654348004487e-11	0	3.9094915588352275e-07	1.622099383664664e-17	4.5188183505203464e-07	5.434069176944348e-08	0.004235103918128	3.052748899666577e-07	0.005388145837192	0.033496832166343006	1.793054150437762e-08	0.956878374580838
819.0.	0.000105823793952	3.0286594685810756e-07	3.127687199894261e-11	0	3.895240069805325e-07	1.6500213216059214e-17	4.235413228762355e-07	5.093262852445606e-08	0.003968575777742	2.955284311266674e-07	0.005048371982072	0.033362512377537006	1.8148068621573952e-08	0.957619059290967
828.0.	0.00010586021548400001	2.838938806984065e-07	3.0284632958984757e-11	0	3.8808453525482976e-07	1.6778788534732334e-17	3.969604317068288e-07	4.7736166641061406e-08	0.0037186970982740005	2.8605439776042384e-07	0.00472991475909	0.033227782150141	1.8364720348198462e-08	0.9583221848680791
837.0.	0.000105894488388	2.6609652411954904e-07	2.93194494034725e-11	0	3.866320948648522e-07	1.705668402927331e-17	3.72032035516952e-07	4.473842382907374e-08	0.0034844431304670003	2.768479772951422e-07	0.004431449795047	0.033092706333161005	1.858049422682555e-08	0.9589900357844561
846.0.	0.00010592674167100001	2.494028201937418e-07	2.838091767456848e-11	0	3.851679567661742e-07	1.733386623598665e-17	3.486552754384202e-07	4.192727144226984e-08	0.0032648502901270002	2.679042120464114e-07	0.004151733447145	0.032957345638264	1.8795388208405242e-08	0.9596247587431581
855.0.	0.00010595709696600001	2.337458036160295e-07	2.746861096438902e-11	0	3.8369331327236595e-07	1.7610303884535142e-17	3.267352237646221e-07	3.9291294074304085e-08	0.0030590127471800004	2.592180244458781e-07	0.003889598067735	0.032821756883959004	1.9009400626143173e-08	0.9602283705805971
864.0.	0.000105985668909	2.190623908170096e-07	2.658208258619108e-11	0	3.822092824222884e-07	1.7885967794460913e-17	3.061825622203905e-07	3.681975087017607e-08	0.00286607917415	2.507842401646706e-07	0.0036439475244400004	0.032685993226572	1.922253017092634e-08	0.9608027657674991
